=====================获取新低票===============================
code	name
000681	视觉中国
000898	鞍钢股份
000825	太钢不锈
000058	深 赛 格
000598	兴蓉环境
002056	横店东磁
000823	超声电子
000403	振兴生化
002179	中航光电
000983	西山煤电
====================短线龙头票=============================
code	name	industry	score
600423	*ST柳化	农药化肥	4532
300107	建新股份	化工原料	4004
600516	方大炭素	矿物制品	3875
600781	辅仁药业	中成药	3460
300653	正海生物	医疗保健	3438
600738	兰州民百	百货	3325
600009	上海机场	机场	3242
002233	塔牌集团	水泥	3238
002001	新 和 成	化学制药	3223
002007	华兰生物	生物制药	3163
002033	丽江旅游	旅游景点	3127
002507	涪陵榨菜	食品	3121
002110	三钢闽光	普钢	3106
603058	永吉股份	广告包装	3081
000055	方大集团	其他建材	2816
600382	广东明珠	商贸代理	2798
000568	泸州老窖	白酒	2778
002027	分众传媒	影视音像	2777
002222	福晶科技	元器件	2770
600777	新潮能源	综合类	2749
603338	浙江鼎力	专用机械	2715
600317	营口港	港口	2681
600097	开创国际	渔业	2665
603508	思维列控	软件服务	2664
300467	迅游科技	互联网	2658
300445	康斯特	电器仪表	2633
600507	方大特钢	特种钢	2610
603300	华铁科技	钢加工	2594
002677	浙江美大	家用电器	2572
300285	国瓷材料	陶瓷	2564
000722	湖南发展	水力发电	2561
603393	新天然气	供气供热	2556
000629	攀钢钒钛	小金属	2533
300081	恒信东方	文教休闲	2510
002757	南兴装备	家居用品	2496
600548	深高速	路桥	2444
300272	开能健康	环境保护	2444
002553	南方轴承	汽车配件	2433
601888	中国国旅	旅游服务	2428
000426	兴业矿业	铅锌	2419
600053	九鼎投资	多元金融	2409
000028	国药一致	医药商业	2396
002640	跨境通	服饰	2388
000029	深深房Ａ	区域地产	2369
002795	永和智控	机械基件	2352
603980	吉华集团	染料涂料	2339
000690	宝新能源	火力发电	2273
002568	百润股份	红黄药酒	2269
601100	恒立液压	工程机械	2262
600603	广汇物流	仓储物流	2260
600703	三安光电	半导体	2258
300164	通源石油	石油开采	2246
300590	移为通信	通信设备	2245
603558	健盛集团	纺织	2236
603060	国检集团	建筑施工	2229
601828	美凯龙	其他商业	2206
300042	朗科科技	电脑设备	2203
601619	嘉泽新能	新型电力	2190
000049	德赛电池	电气设备	2189
601006	大秦铁路	铁路	2184
603657	春光科技	塑料	2173
300395	菲利华	玻璃	2125
600215	长春经开	园区开发	2092
600077	宋都股份	全国地产	2054
600103	青山纸业	造纸	2032
002746	仙坛股份	农业综合	2023
601225	陕西煤业	煤炭开采	2008
600315	上海家化	日用化工	2003
002697	红旗连锁	超市连锁	1971
601011	宝泰隆	焦炭加工	1901
000560	我爱我家	房产服务	1898
600673	东阳光科	铝	1880
002381	双箭股份	橡胶	1863
002444	巨星科技	轻工机械	1855
002698	博实股份	化工机械	1817
000598	兴蓉环境	水务	1806
600887	伊利股份	乳制品	1785
002203	海亮股份	铜	1769
002713	东易日盛	装修装饰	1748
601021	春秋航空	空运	1732
600810	神马股份	化纤	1699
600575	皖江物流	水运	1663
603881	数据港	电信运营	1656
600229	城市传媒	出版业	1509
600132	重庆啤酒	啤酒	1476
000913	钱江摩托	摩托车	1474
002221	东华能源	石油贸易	1447
