CODE	NAME	INDUSTRY	SCORE	round(PE)	round(PRICE)	round(GPR)	round(BIPS)	round(SHEQRATIO)	CASHFLOWRATIO	MBRG	EPSG	SEG
600516	方大炭素	矿物制品	5797	7	15	77	5	73	101.6735	248.6204	5175	66.255
600867	通化东宝	生物制药	4801	45	22	75	1	95	549.291	24.7467	6.5217	14.9428
600010	包钢股份	普钢	4099	36	0	16	1	34	8.2457	73.016	1638.4615	4.4496
000688	建新矿业	铅锌	3963	27	10	58	1	92	336.8924	11.3199	76.0194	24.111
600581	八一钢铁	普钢	3637	13	19	14	22	18	17.446	69.4351	3075	52.0256
002222	福晶科技	元器件	3427	47	15	60	1	89	185.2727	47.2319	94.2249	13.8424
600971	恒源煤电	煤炭开采	3414	9	10	41	7	49	53.6436	41.3041	2650	22.0014
002225	濮耐股份	其他建材	3394	18	1	30	3	52	6.6365	54.6228	50	1.1941
603871	嘉友国际	仓储物流	3367	26	90	9	54	64	64.7712	239.0319	41.4753	56.1196
002294	信立泰	化学制药	3314	26	14	81	4	90	254.3534	8.355	4.5113	12.9211
000717	韶钢松山	普钢	3303	5	5	13	11	21	31.4083	86.3488	2500.25	548.3351
600230	沧州大化	农药化肥	3289	7	31	56	15	70	138.297	50.0456	245.7782	81.9192
002889	东方嘉盛	仓储物流	3192	21	21	2	73	19	3.4936	47.5333	14.9425	68.0339
600612	老凤祥	服饰	3174	15	32	8	76	50	18.8642	13.8617	7.445	10.7871
600050	中国联通	电信运营	3173	34	1	25	9	54	37.8022	0.2306	157.5342	74.6952
603387	基蛋生物	生物制药	3161	42	73	82	4	91	171.7664	32.3748	22.8571	236.2253
002925	盈趣科技	元器件	3131	47	120	49	9	65	112.9197	98.2027	121.3675	98.8122
603040	新坐标	机械基件	3129	36	67	64	4	88	137.1945	71.2937	48.7805	108.6542
002320	海峡股份	水运	3117	28	13	42	2	92	214.2726	30.0862	21.6216	52.1358
600362	江西铜业	铜	3096	20	9	4	59	51	7.096	1.3537	100	2.0056
600781	辅仁药业	中成药	3080	17	7	40	9	47	11.9568	1070.2094	840	1146.0054
600104	上汽集团	汽车整车	3019	11	12	13	73	38	6.2155	14.9739	1.929	17.4105
002164	宁波东力	电气设备	2999	25	7	3	18	21	0.0714	2399.8365	866.6667	212.7938
603283	赛腾股份	专用机械	2992	59	48	49	4	63	44.4305	69.5129	100	97.1174
002466	天齐锂业	小金属	2978	26	51	70	6	60	122.3297	40.0935	25.974	97.5397
603866	桃李面包	食品	2972	63	72	38	9	89	182.6877	23.4226	17.5258	53.4048
600009	上海机场	机场	2949	25	18	50	4	92	199.8993	15.9808	30.8219	12.7174
603599	广信股份	农药化肥	2936	16	15	33	6	75	75.3536	56.1839	87.5	71.6738
603025	大豪科技	电脑设备	2921	37	33	52	2	91	109.4907	53.2989	66.0377	25.2986
002555	三七互娱	互联网	2915	18	14	69	3	80	120.6533	17.9298	48.1481	55.1125
603225	新凤鸣	化纤	2907	18	46	12	38	59	51.5056	31.3915	87.0504	111.0714
002019	亿帆医药	化学制药	2903	19	21	57	4	77	71.3921	24.7872	79.6875	83.5254
603638	艾迪精密	专用机械	2871	36	29	43	4	86	105.9391	60.3079	34.7631	66.6077
002773	康弘药业	中成药	2860	45	19	90	4	77	132.3669	9.7032	29.3626	21.9824
000703	恒逸石化	化纤	2847	14	14	4	39	48	13.926	98.2886	63.9344	9.5367
000661	长春高新	生物制药	2837	41	67	82	24	71	19.3236	41.5823	26.2987	13.4877
600703	三安光电	半导体	2824	23	7	49	2	78	160.2987	33.8157	47.1698	13.3825
600276	恒瑞医药	化学制药	2818	68	77	87	5	88	124.2385	24.7158	3.0163	24.0546
600338	西藏珠峰	铅锌	2814	22	37	73	4	53	87.0915	67.0234	71.2593	31.3081
002680	长生生物	生物制药	2800	43	25	87	2	86	86.6099	52.6043	32.9911	8.18
002038	双鹭药业	生物制药	2784	44	35	71	2	94	152.493	22.9964	18.0276	9.6016
600585	海螺水泥	水泥	2781	10	29	35	14	75	82.2335	34.6473	85.7143	16.7048
000545	金浦钛业	化工原料	2750	29	1	24	2	73	39.6835	66.4326	41.6667	5.2989
000524	岭南控股	酒店餐饮	2749	45	13	17	10	58	36.797	2011.1313	154.5455	308.9604
